,name,salary_min,salary_max,salary_currency,salary_type,salary_period,company_name,url,site
55,Сервисный инженер,,,none,none,none,Вебер Комеханикс,https://www.superjob.ru/vakansii/servisnyj-inzhener-31955270.html,superjob.ru
56,Инженер-проектировщик электроснабжения,,,none,none,none,Кадровый Центр на Сокольнической Площади,https://www.superjob.ru/vakansii/inzhener-proektirovschik-elektrosnabzheniya-37339502.html,superjob.ru
57,Ведущий инженер-сметчик,,120000.0,руб.,gross,месяц,Комэнерго,https://www.superjob.ru/vakansii/veduschij-inzhener-smetchik-37350763.html,superjob.ru
58,"Инженер-ведущий инженер по наладке и испытаниям (АТС, вахта)",122000.0,,руб.,gross,месяц,Промстроймонтаж,https://www.superjob.ru/vakansii/inzhener-veduschij-inzhener-po-naladke-i-ispytaniyam-37431286.html,superjob.ru
59,Ведущий научный сотрудник (ведущий инженер),100000.0,,руб.,gross,месяц,Всероссийский научно-исследовательский институт авиационных материалов,https://www.superjob.ru/vakansii/veduschij-nauchnyj-sotrudnik-36566113.html,superjob.ru
60,Инженер-метролог (измерения геометрических величин),54180.0,,руб.,gross,месяц,"ГУП ""Московский метрополитен""",https://www.superjob.ru/vakansii/inzhener-metrolog-37332851.html,superjob.ru
61,Инженер по планированию оборудования в ЦОД,,,none,none,none,Сбербанк России,https://www.superjob.ru/vakansii/inzhener-po-planirovaniyu-oborudovaniya-v-cod-37660564.html,superjob.ru
62,"Ведущий инженер-конструктор (бюро судовых систем, оборудования и механизмов)",89000.0,,руб.,gross,месяц,Центр трудовых ресурсов,https://www.superjob.ru/vakansii/veduschij-inzhener-konstruktor-37408345.html,superjob.ru
63,Инженер препресс,60000.0,,руб.,gross,месяц,JOBCART.RU,https://www.superjob.ru/vakansii/inzhener-prepress-37523331.html,superjob.ru
64,Инженер-программист микроконтроллеров,70000.0,,руб.,gross,месяц,Микроволновая Электроника,https://www.superjob.ru/vakansii/inzhener-programmist-mikrokontrollerov-37268926.html,superjob.ru
65,Инженер технического надзора строительно-монтажных работ,,,none,none,none,Почта России,https://www.superjob.ru/vakansii/inzhener-tehnicheskogo-nadzora-stroitelno-montazhnyh-rabot-36422958.html,superjob.ru
66,Инженер по вентиляции и кондиционированию производства,70000.0,,руб.,gross,месяц,Азбука вкуса,https://www.superjob.ru/vakansii/inzhener-po-ventilyacii-i-kondicionirovaniyu-proizvodstva-31125288.html,superjob.ru
67,"Инженер-лаборант / Ведущий инженер (ОС, вахта)",90000.0,108000.0,руб.,gross,месяц,Промстроймонтаж,https://www.superjob.ru/vakansii/inzhener-laborant-37480479.html,superjob.ru
68,Плотник (инженер-техник),,50000.0,руб.,gross,месяц,Первая Экспедиционная Компания,https://www.superjob.ru/vakansii/plotnik-37672377.html,superjob.ru
69,Инженер-проектировщик инженерных сетей,90000.0,,руб.,gross,месяц,Голубая Лагуна,https://www.superjob.ru/vakansii/inzhener-proektirovschik-inzhenernyh-setej-37560983.html,superjob.ru
70,Инженер электротехнической лаборатории,,,none,none,none,МОЭК,https://www.superjob.ru/vakansii/inzhener-elektrotehnicheskoj-laboratorii-34298121.html,superjob.ru
71,Инженер DBA MS SQL,,200000.0,руб.,gross,месяц,Снежная Королева,https://www.superjob.ru/vakansii/inzhener-dba-ms-sql-35947682.html,superjob.ru
72,Инженер технической поддержки,30000.0,37000.0,руб.,gross,месяц,РСС,https://www.superjob.ru/vakansii/inzhener-tehnicheskoj-podderzhki-36778455.html,superjob.ru
73,"Инженер-проектировщик слаботочных систем, проектировщик слаботочных систем, слаботочные системы",60000.0,70000.0,руб.,gross,месяц,Группа ЭНЭЛТ,https://www.superjob.ru/vakansii/inzhener-proektirovschik-slabotochnyh-sistem-37312566.html,superjob.ru
74,Инженер ПОС,,120000.0,руб.,gross,месяц,Комэнерго,https://www.superjob.ru/vakansii/inzhener-pos-37312689.html,superjob.ru
75,"Инженер-технолог (вальцовка, штамповка)",,,none,none,none,Московское машиностроительное предприятие имени В. В. Чернышева,https://www.superjob.ru/vakansii/inzhener-tehnolog-32410555.html,superjob.ru
76,Инженер по сетевой безопасности,,100000.0,руб.,gross,месяц,НОРНИКЕЛЬ,https://www.superjob.ru/vakansii/inzhener-po-setevoj-bezopasnosti-36689764.html,superjob.ru
77,Инженер ПТО,,,none,none,none,СК Система,https://www.superjob.ru/vakansii/inzhener-pto-34790932.html,superjob.ru
78,Ведущий инженер-конструктор пищевого производства,,,none,none,none,ОЧАКОВО,https://www.superjob.ru/vakansii/veduschij-inzhener-konstruktor-pischevogo-proizvodstva-36344685.html,superjob.ru
79,Инженер слаботочных систем,75000.0,,руб.,gross,месяц,Охранная Организация АН-Секьюрити,https://www.superjob.ru/vakansii/inzhener-slabotochnyh-sistem-37649051.html,superjob.ru
80,Инженер производственно-технического отдела,69000.0,,руб.,gross,месяц,"ГУП ""Московский метрополитен""",https://www.superjob.ru/vakansii/inzhener-proizvodstvenno-tehnicheskogo-otdela-37088237.html,superjob.ru
81,Team lead Data-инженеров,,,none,none,none,Сбербанк России,https://www.superjob.ru/vakansii/team-lead-data-inzhenerov-37352369.html,superjob.ru
82,Инженер-конструктор 2 категории (Бюро ЭМР и КИПа),65000.0,,руб.,gross,месяц,Центр трудовых ресурсов,https://www.superjob.ru/vakansii/inzhener-konstruktor-2-kategorii-37408146.html,superjob.ru
83,Инженер-схемотехник / Конструктор РЭА,70000.0,87500.0,руб.,gross,месяц,Микроволновая Электроника,https://www.superjob.ru/vakansii/inzhener-shemotehnik-37268471.html,superjob.ru
84,Ведущий инженер-энергетик,44300.0,50000.0,руб.,gross,месяц,Почта России,https://www.superjob.ru/vakansii/veduschij-inzhener-energetik-35170432.html,superjob.ru
85,Ведущий инженер-проектировщик (НВК),,120000.0,руб.,gross,месяц,Комэнерго,https://www.superjob.ru/vakansii/veduschij-inzhener-proektirovschik-37312681.html,superjob.ru
86,Инженер-электрик (Люберцы),56500.0,,руб.,gross,месяц,JOBCART.RU,https://www.superjob.ru/vakansii/inzhener-elektrik-37266165.html,superjob.ru
87,Инженер по строительному контролю / техническому надзору,,,none,none,none,ГК Гранель,https://www.superjob.ru/vakansii/inzhener-po-stroitelnomu-kontrolyu-34623012.html,superjob.ru
88,Инженер по обслуживанию противопожарных систем,50000.0,,руб.,gross,месяц,,https://www.superjob.ru/vakansii/inzhener-po-obsluzhivaniyu-protivopozharnyh-sistem-37602083.html,superjob.ru
89,Инженер-конструктор,,,none,none,none,Электротехнический концерн Русэлпром,https://www.superjob.ru/vakansii/inzhener-konstruktor-37478044.html,superjob.ru
90,Инженер ПТО,70000.0,,руб.,gross,месяц,Группа Компаний Асфальтстрой,https://www.superjob.ru/vakansii/inzhener-pto-37394295.html,superjob.ru
91,Инженер-электрик в строительную компанию,90000.0,110000.0,руб.,gross,месяц,ЭСТ Консалтинг,https://www.superjob.ru/vakansii/inzhener-elektrik-v-stroitelnuyu-kompaniyu-34169710.html,superjob.ru
92,,,,,,,,,
93,Ведущий инженер отдела контроля качества,,91350.0,руб.,gross,месяц,ТехСтрой,https://www.superjob.ru/vakansii/veduschij-inzhener-otdela-kontrolya-kachestva-37516192.html,superjob.ru
94,,,,,,,,,
95,Инженер-конструктор,,,none,none,none,Строительная компания,https://www.superjob.ru/vakansii/inzhener-konstruktor-29233987.html,superjob.ru
96,,,,,,,,,
97,Старший инженер-механик (хлебопекарное производство),,86700.0,руб.,gross,месяц,Азбука вкуса,https://www.superjob.ru/vakansii/starshij-inzhener-mehanik-37392020.html,superjob.ru
98,,,,,,,,,
99,Инженер-геодезист,80000.0,,руб.,gross,месяц,Столичная строительная компания,https://www.superjob.ru/vakansii/inzhener-geodezist-37346324.html,superjob.ru
100,,,,,,,,,
101,Инженер 2 категории по техническому контролю,57600.0,,руб.,gross,месяц,"ГУП ""Московский метрополитен""",https://www.superjob.ru/vakansii/inzhener-2-kategorii-po-tehnicheskomu-kontrolyu-37502007.html,superjob.ru
102,,,,,,,,,
103,Ведущий инженер (вентиляция),75000.0,75000.0,руб.,gross,месяц,ТехСтрой,https://www.superjob.ru/vakansii/veduschij-inzhener-37515101.html,superjob.ru
104,Главный инженер,,,none,none,none,Лента,https://www.superjob.ru/vakansii/glavnyj-inzhener-26548784.html,superjob.ru
105,Ведущий инженер по качеству (генподряд),104000.0,,руб.,gross,месяц,Столичная строительная компания,https://www.superjob.ru/vakansii/veduschij-inzhener-po-kachestvu-36793138.html,superjob.ru
106,Ведущий инженер по ИССО,95000.0,115000.0,руб.,gross,месяц,АВТОБАН,https://www.superjob.ru/vakansii/veduschij-inzhener-po-isso-36380997.html,superjob.ru
107,Инженер по ремонту стиральных машин,120000.0,,руб.,gross,месяц,Крупная Сервисная Компания,https://www.superjob.ru/vakansii/inzhener-po-remontu-stiralnyh-mashin-31420726.html,superjob.ru
