,name,salary_min,salary_max,salary_currency,salary_type,salary_period,company_name,url,site
163,Инженер-проектировщик (Слаботочных систем),80000.0,,руб.,gross,месяц,,https://www.superjob.ru/vakansii/inzhener-proektirovschik-37595387.html,superjob.ru
164,Инженер-конструктор (проектирование мех. части изделия),,,none,none,none,2050-Интегратор,https://www.superjob.ru/vakansii/inzhener-konstruktor-37717861.html,superjob.ru
165,Инженер ПТО,90000.0,,руб.,gross,месяц,ПСК-71,https://www.superjob.ru/vakansii/inzhener-pto-37448238.html,superjob.ru
166,Инженер по продажам оборудования (г. Щелково),40000.0,,руб.,gross,месяц,Гидропоток,https://www.superjob.ru/vakansii/inzhener-po-prodazham-oborudovaniya-27936469.html,superjob.ru
167,Инженер (ведущий инженер) аналитик по оптимизации работы генерирующих мощностей,,,none,none,none,НБИ,https://www.superjob.ru/vakansii/inzhener-37715679.html,superjob.ru
168,Инженер АиСС,,80000.0,руб.,gross,месяц,ОМС,https://www.superjob.ru/vakansii/inzhener-aiss-33299253.html,superjob.ru
169,Инженер-проектировщик электрических сетей (наружные),,95000.0,руб.,gross,месяц,Энергосеть-25,https://www.superjob.ru/vakansii/inzhener-proektirovschik-elektricheskih-setej-37716272.html,superjob.ru
170,Главный инженер (добыча ископаемых),,,none,none,none,,https://www.superjob.ru/vakansii/glavnyj-inzhener-37339638.html,superjob.ru
171,Ведущий инженер группы производственного планирования,100000.0,,руб.,gross,месяц,АльмакорГруп,https://www.superjob.ru/vakansii/veduschij-inzhener-gruppy-proizvodstvennogo-planirovaniya-34617109.html,superjob.ru
172,Сервис-инженер ВЭЖХ-систем,,,none,none,none,ХромсистемсЛаб,https://www.superjob.ru/vakansii/servis-inzhener-vezhh-sistem-37219905.html,superjob.ru
173,Инженер-конструктор (металлообработка),70000.0,80000.0,руб.,gross,месяц,СКС,https://www.superjob.ru/vakansii/inzhener-konstruktor-29003044.html,superjob.ru
174,Инженер медтехники,58000.0,70000.0,руб.,gross,месяц,Клиническая больница №1,https://www.superjob.ru/vakansii/inzhener-medtehniki-36534015.html,superjob.ru
175,Инженер лаборатории физико-механических испытаний,70000.0,80000.0,руб.,gross,месяц,"ФГБУ ""ВИМС""",https://www.superjob.ru/vakansii/inzhener-laboratorii-fiziko-mehanicheskih-ispytanij-35107252.html,superjob.ru
176,Инженер-химик (парфюмерная фабрика),,,none,none,none,Новая Заря,https://www.superjob.ru/vakansii/inzhener-himik-37459725.html,superjob.ru
177,Инженер-проектировщик ВК,90000.0,110000.0,руб.,gross,месяц,"Проектное бюро ""Волна""",https://www.superjob.ru/vakansii/inzhener-proektirovschik-vk-36176957.html,superjob.ru
178,Инженер-схемотехник,85000.0,100000.0,руб.,gross,месяц,MicroMax Systems,https://www.superjob.ru/vakansii/inzhener-shemotehnik-37333043.html,superjob.ru
179,,,,,,,,,
